desa,kecamatan,Latitude,Longitude,rr,skor_hujan,elevasi_m,slope_deg,skor_risiko,kelas,tempat_evakuasi_tujuan,jarak_ke_shelter_km,manajemen_tindakan
Desa Mandala,Cimanggu,-7.357041,108.888654,10.000657276335916,1.290407390494957,81.0,10.539928213779056,45.5,Sedang,Balai Desa Mandala,0.08,WASPADA (Pantau Saluran Air & Siapkan Tas Darurat)
Desa Pengaweran,Karangpucung,-7.382458,108.877978,10.289354095530514,1.327658592971679,64.0,8.60938039640686,56.7,Tinggi,Balai Desa Ciporos,0.73,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Karangpucung,Karangpucung,-7.41075,108.906193,10.811321436515904,1.395009217614955,56.0,6.8850305778079965,65.5,Tinggi,Balai Desa Tayemtimur,0.42,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Patimuan,Patimuan,-7.584914,108.76131,11.409285380004992,1.4721658554845152,15.0,2.7505627926620133,72.9,Tinggi,Balai Desa Patimuan,0.16,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Sidamukti,Patimuan,-7.609299,108.754052,11.467083124545294,1.4796236289735862,3.0,0.6987337731622081,73.1,Tinggi,Balai Desa Sidamukti,0.18,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Purwodadi,Patimuan,-7.600747,108.762061,11.520944716237102,1.4865735117725292,7.0,1.031072230179391,73.5,Tinggi,Balai Desa Purwodadi,0.04,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Bulupayung,Patimuan,-7.57995,108.785915,11.678012216854023,1.5068402860456804,7.0,2.2684397521546664,73.7,Tinggi,Balai Desa Bulupayung,0.06,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Cimrutu,Patimuan,-7.619538,108.802522,12.157045308769153,1.5686510075831164,5.0,2.051884846304384,76.7,Kritis,Balai Desa Cimrutu,0.03,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Tambakreja,Kedungreja,-7.538916,108.782982,11.306879848493884,1.4589522385153395,15.0,3.031756287363045,72.7,Tinggi,Balai Desa Tambakreja,0.06,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Bumireja,Kedungreja,-7.536534,108.806366,11.54106727641113,1.4891699711498232,1.0,0.646459276842719,73.7,Tinggi,Balai Desa Bumireja,0.78,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Ciklapa,Kedungreja,-7.506692,108.810952,11.290559805678534,1.4568464265391656,4.0,0.7167409596089374,72.8,Tinggi,Balai Desa Ciklapa,0.05,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Tambaksari,Kedungreja,-7.4401,108.881896,11.070523671500457,1.4284546672903815,40.0,5.857926237117019,66.7,Tinggi,Balai Desa Sindangbarang,1.29,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Kaliwungu,Kedungreja,-7.548292,108.80998,11.690280332216464,1.5084232686730925,4.0,1.196213491235442,74.0,Tinggi,Balai Desa Bumireja,1.65,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
